deviceCode,activationCode
DEV-PERF-001,PERF-ACT-001
DEV-PERF-002,PERF-ACT-002
DEV-PERF-003,PERF-ACT-003
DEV-PERF-004,PERF-ACT-004
DEV-PERF-005,PERF-ACT-005
DEV-PERF-006,PERF-ACT-006
DEV-PERF-007,PERF-ACT-007
DEV-PERF-008,PERF-ACT-008
DEV-PERF-009,PERF-ACT-009
DEV-PERF-010,PERF-ACT-010
DEV-PERF-011,PERF-ACT-011
DEV-PERF-012,PERF-ACT-012
DEV-PERF-013,PERF-ACT-013
DEV-PERF-014,PERF-ACT-014
DEV-PERF-015,PERF-ACT-015
DEV-PERF-016,PERF-ACT-016
DEV-PERF-017,PERF-ACT-017
DEV-PERF-018,PERF-ACT-018
DEV-PERF-019,PERF-ACT-019
DEV-PERF-020,PERF-ACT-020
DEV-PERF-021,PERF-ACT-021
DEV-PERF-022,PERF-ACT-022
DEV-PERF-023,PERF-ACT-023
DEV-PERF-024,PERF-ACT-024
DEV-PERF-025,PERF-ACT-025
DEV-PERF-026,PERF-ACT-026
DEV-PERF-027,PERF-ACT-027
DEV-PERF-028,PERF-ACT-028
DEV-PERF-029,PERF-ACT-029
DEV-PERF-030,PERF-ACT-030
DEV-PERF-031,PERF-ACT-031
DEV-PERF-032,PERF-ACT-032
DEV-PERF-033,PERF-ACT-033
DEV-PERF-034,PERF-ACT-034
DEV-PERF-035,PERF-ACT-035
DEV-PERF-036,PERF-ACT-036
DEV-PERF-037,PERF-ACT-037
DEV-PERF-038,PERF-ACT-038
DEV-PERF-039,PERF-ACT-039
DEV-PERF-040,PERF-ACT-040
DEV-PERF-041,PERF-ACT-041
DEV-PERF-042,PERF-ACT-042
DEV-PERF-043,PERF-ACT-043
DEV-PERF-044,PERF-ACT-044
DEV-PERF-045,PERF-ACT-045
DEV-PERF-046,PERF-ACT-046
DEV-PERF-047,PERF-ACT-047
DEV-PERF-048,PERF-ACT-048
DEV-PERF-049,PERF-ACT-049
DEV-PERF-050,PERF-ACT-050
DEV-PERF-051,PERF-ACT-051
DEV-PERF-052,PERF-ACT-052
DEV-PERF-053,PERF-ACT-053
DEV-PERF-054,PERF-ACT-054
DEV-PERF-055,PERF-ACT-055
DEV-PERF-056,PERF-ACT-056
DEV-PERF-057,PERF-ACT-057
DEV-PERF-058,PERF-ACT-058
DEV-PERF-059,PERF-ACT-059
DEV-PERF-060,PERF-ACT-060
DEV-PERF-061,PERF-ACT-061
DEV-PERF-062,PERF-ACT-062
DEV-PERF-063,PERF-ACT-063
DEV-PERF-064,PERF-ACT-064
DEV-PERF-065,PERF-ACT-065
DEV-PERF-066,PERF-ACT-066
DEV-PERF-067,PERF-ACT-067
DEV-PERF-068,PERF-ACT-068
DEV-PERF-069,PERF-ACT-069
DEV-PERF-070,PERF-ACT-070
DEV-PERF-071,PERF-ACT-071
DEV-PERF-072,PERF-ACT-072
DEV-PERF-073,PERF-ACT-073
DEV-PERF-074,PERF-ACT-074
DEV-PERF-075,PERF-ACT-075
DEV-PERF-076,PERF-ACT-076
DEV-PERF-077,PERF-ACT-077
DEV-PERF-078,PERF-ACT-078
DEV-PERF-079,PERF-ACT-079
DEV-PERF-080,PERF-ACT-080
DEV-PERF-081,PERF-ACT-081
DEV-PERF-082,PERF-ACT-082
DEV-PERF-083,PERF-ACT-083
DEV-PERF-084,PERF-ACT-084
DEV-PERF-085,PERF-ACT-085
DEV-PERF-086,PERF-ACT-086
DEV-PERF-087,PERF-ACT-087
DEV-PERF-088,PERF-ACT-088
DEV-PERF-089,PERF-ACT-089
DEV-PERF-090,PERF-ACT-090
DEV-PERF-091,PERF-ACT-091
DEV-PERF-092,PERF-ACT-092
DEV-PERF-093,PERF-ACT-093
DEV-PERF-094,PERF-ACT-094
DEV-PERF-095,PERF-ACT-095
DEV-PERF-096,PERF-ACT-096
DEV-PERF-097,PERF-ACT-097
DEV-PERF-098,PERF-ACT-098
DEV-PERF-099,PERF-ACT-099
DEV-PERF-100,PERF-ACT-100
